tipo,nombre,producto,calificacion,comentario,comentario_limpio
estructurado,Luis,CRM Plus,0.94,"Pésimo servicio, no cumple lo prometido.",psimo servicio cumple prometido
no estructurado,,,0.81,"Me resolvieron el problema, gracias!",resolvieron problema gracias
estructurado,Carlos,CRM Plus,0.92,Atención excelente y rápida.,atención excelente rápida.
estructurado,Jorge,CRM Plus,0.9,El sistema es muy eficiente y fácil de usar.,sistema eficiente fcil usar
estructurado,Jorge,App Móvil,0.8,Me gustó la nueva actualización.,gustó nueva actualización.
estructurado,Jorge,Sistema de Nómina,0.81,Tuve muchos errores al facturar.,tuve errores facturar
estructurado,Andrés,CRM Plus,0.8,Falla constantemente.,falla constantemente.
estructurado,Fernanda,App Móvil,0.8,Los reportes son confusos.,los reportes son confusos.
estructurado,Luis,ERP Cloud,0.84,Atención excelente y rápida.,atención excelente rápida.
no estructurado,,,0.63,Me encanta cómo ha mejorado la experiencia.,encanta cómo mejorado experiencia.
no estructurado,,,0.62,Funciona bien para lo básico.,funciona bien para básico.
no estructurado,,,0.45,Interfaz muy intuitiva.,interfaz muy intuitiva.
estructurado,Lucía,App Móvil,0.45,Atención excelente y rápida.,atención excelente rápida.
no estructurado,,,0.67,Demasiados errores al procesar.,demasiados errores procesar.
estructurado,Ana,CRM Plus,0.68,Falla constantemente.,falla constantemente.
no estructurado,,,0.58,Interfaz muy intuitiva.,interfaz muy intuitiva.
estructurado,Fernanda,App Móvil,0.54,Superó mis expectativas.,superó mis expectativas.
estructurado,Patricia,Portal de Clientes,0.47,Siento que ha mejorado bastante.,siento que mejorado bastante.
no estructurado,,,0.48,Funciona bien para lo básico.,funciona bien para básico.
estructurado,Lucía,ERP Cloud,0.6,Demasiados errores al procesar.,demasiados errores procesar.
no estructurado,,,0.64,Demasiados errores al procesar.,demasiados errores procesar.
estructurado,Mario,Portal de Clientes,0.55,No me ayudaron cuando tuve un problema.,ayudaron cuando tuve problema.
estructurado,Carlos,Sistema de Nómina,0.58,Me gustó la nueva actualización.,gustó nueva actualización.
no estructurado,,,0.55,Funciona bien para lo básico.,funciona bien para básico.
estructurado,Mario,App Móvil,0.09,"Muy lento, esperaba más.","muy lento, esperaba más."
estructurado,Lucía,ERP Cloud,0.11,Funciona bien para lo básico.,funciona bien para básico.
estructurado,Jorge,CRM Plus,0.08,"Muy lento, esperaba más.","muy lento, esperaba más."
estructurado,Jorge,CRM Plus,0.23,Atención excelente y rápida.,atención excelente rápida.
no estructurado,,,0.17,Funciona bien para lo básico.,funciona bien para básico.
estructurado,Lucía,App Móvil,0.03,"Pésimo, no volveré a usarlo.","pésimo, volveré usarlo."
no estructurado,,,0.17,"Pésimo, no volveré a usarlo.","pésimo, volveré usarlo."
no estructurado,,,0.03,No lo recomendaría.,recomendaría.
no estructurado,,,0.08,Los reportes son confusos.,los reportes son confusos.
estructurado,Andrés,Portal de Clientes,0.05,"Me encanta la nueva interfaz, es muy intuitiva.",encanta nueva interfaz intuitiva
no estructurado,,,0.2,Los reportes son confusos.,los reportes son confusos.
no estructurado,,,0.36,"necesito ayuda, no puedo hacer login",necesito ayuda puedo hacer login
estructurado,Luis,CRM Plus,0.38,"El sistema cumple su función, sin más.",sistema cumple funcin
no estructurado,,,0.2,Me gustó la nueva actualización.,gustó nueva actualización.
no estructurado,,,0.14,Me gustó la nueva actualización.,gustó nueva actualización.
no estructurado,,,0.0,Atención excelente y rápida.,atención excelente rápida.
estructurado,Luis,App Móvil,0.34,Funciona bien para lo básico.,funciona bien para básico.
no estructurado,,,0.33,Genial para llevar el control.,genial para llevar control.
estructurado,Jorge,CRM Plus,0.24,No carga bien desde el móvil.,carga bien desde móvil.
no estructurado,,,0.31,"otra vez falla el sistema, qué sorpresa...",vez falla sistema sorpresa
estructurado,Diana,Portal de Clientes,0.32,Me encanta cómo ha mejorado la experiencia.,encanta cómo mejorado experiencia.
no estructurado,,,0.19,Es justo lo que necesitaba.,justo que necesitaba.
estructurado,Jorge,CRM Plus,0.19,Excelente atención al cliente.,excelente atencin cliente
no estructurado,,,0.07,Los reportes son confusos.,los reportes son confusos.
no estructurado,,,0.37,Genial para llevar el control.,genial para llevar control.
